Abde Ezzalzouli,Real Betis,1,32,262,211,51,568,417,9,2,0.02,0,0.02,0,0.02,0,0
Abde Rebbach,Granada CF,7,3,49,36,13,99,64,5,0,0,0,0,0,0,0,0
Abdón Prats,RCD Mallorca,0,1,56,24,32,53,35,2,0,0.2,0,0.2,0.1,0,0.1,0
Abdoulaye Keita,Getafe CF,0,2,22,15,7,25,13,1,0,0,0,0,0,0,0,0
Abel Ruiz,Girona FC,0,4,78,53,25,213,182,7,1,0.25,0,0.25,0,0.19,0.06,0
Adri Embarba,Rayo Vallecano,29,32,182,149,33,384,268,16,2,0.05,0,0.05,0,0.05,0,0
Adrián Arnu,Real Valladolid CF,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Niño,Atlético de Madrid,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Aingeru Olabarrieta,Athletic Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akor Adams,Sevilla FC,0,0,3,0,3,3,2,0,0,0,0,0,0,0,0,0
Alberto Marí,Real Zaragoza,0,0,1,1,0,4,2,0,0,0,0,0,0,0,0,0
Alejo Véliz,RCD Espanyol de Barcelona,0,1,146,57,89,156,98,4,0,0.07,0,0.07,0,0.07,0,0
Alex Almansa,RCD Espanyol de Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Berenguer,Athletic Club,72,22,211,149,62,546,414,13,3,0.15,0,0.15,0.09,0.03,0.03,0
Alex Marchal,Real Sociedad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Sørloth,Atlético de Madrid,0,6,191,83,108,258,161,3,1,0.32,0,0.32,0.18,0.09,0.06,0
Alfon González,RC Celta,0,4,88,79,9,172,133,1,0,0.11,0,0.11,0,0.11,0,0
Álvaro Djaló,Athletic Club,0,6,79,60,19,72,47,4,0,0.11,0,0.11,0,0,0.11,0
Álvaro Miguel García Pascual,Sevilla FC,0,1,10,5,5,13,9,1,0,0,0,0,0,0,0,0
Álvaro Rodríguez,Getafe CF,0,8,213,86,127,153,79,0,1,0.2,0,0.2,0.1,0,0.1,0
Amath Ndiaye,Real Valladolid CF,0,1,32,27,5,77,56,5,0,0,0,0,0,0,0,0
Ander Barrenetxea,Real Sociedad,1,21,156,138,18,366,253,27,1,0.07,0,0.07,0.07,0,0,0
Ángel Correa,Atlético de Madrid,6,7,94,86,8,215,167,4,0,0.16,0,0.16,0,0.16,0,0
Ángel Ortiz,Real Betis,0,10,51,39,12,156,118,4,0,0,0,0,0,0,0,0
Ansu Fati,FC Barcelona,0,1,15,10,5,62,53,0,2,0,0,0,0,0,0,0
Ante Budimir,CA Osasuna,0,15,342,127,215,307,170,1,1,0.28,0,0.28,0.2,0,0.07,0
Antoine Griezmann,Atlético de Madrid,72,28,158,121,37,1029,761,53,9,0.28,0.07,0.21,0.24,0.03,0,0.03
Antonino Jastin García López,Girona FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoniu Roca,RCD Espanyol de Barcelona,0,10,83,68,15,102,72,1,0,0,0,0,0,0,0,0
Antony Matheus dos Santos,Real Betis,9,13,76,67,9,305,244,7,2,0.18,0,0.18,0.18,0,0,0
Arkaitz Mariezkurrena,Real Sociedad,0,1,9,8,1,17,8,1,0,0.5,0,0.5,0.5,0,0,0
Arnaut Danjuma,Girona FC,21,9,87,84,3,299,232,12,0,0.14,0,0.14,0.05,0.09,0,0
Asier Villalibre,Deportivo Alavés,0,1,63,34,29,62,38,3,1,0.17,0,0.17,0.17,0,0,0
Assane Diao,Como,0,5,45,31,14,60,44,1,0,0.17,0,0.17,0,0.17,0,0
Ayoze Pérez,Villarreal CF,0,18,161,135,26,235,184,3,4,0.28,0.03,0.26,0.03,0.18,0.08,0
Bertug Yildirim,Getafe CF,0,6,184,70,114,144,76,3,0,0.07,0,0.07,0,0,0.07,0
Bojan Miovski,Girona FC,0,7,80,46,34,105,80,1,0,0.25,0,0.25,0.25,0,0,0
Borja Iglesias,RC Celta,0,8,156,125,31,363,259,14,7,0.22,0,0.22,0.09,0.09,0.04,0
Borja Mayoral,Getafe CF,0,2,82,42,40,130,96,6,0,0.4,0,0.4,0,0.4,0,0
Bryan Gil,Girona FC,14,34,246,240,6,668,588,11,0,0.13,0,0.13,0.08,0,0.04,0
Bryan Zaragoza,CA Osasuna,16,13,179,169,10,320,209,20,3,0.04,0,0.04,0,0.04,0,0
Carles Pérez,Getafe CF,7,29,187,152,35,250,173,6,1,0.12,0,0.12,0.12,0,0,0
Carlos Lumbreras,CA Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Martín,Deportivo Alavés,0,29,175,148,27,286,191,4,3,0.12,0,0.12,0,0.06,0,0
Carlos Vicente,Deportivo Alavés,58,28,275,207,68,543,377,17,3,0.18,0.06,0.12,0.06,0.12,0,0
Cédric Bakambu,Real Betis,0,4,76,43,33,91,63,0,1,0.11,0,0.11,0,0,0.11,0
Chidera Ejuke,Sevilla FC,22,13,131,122,9,348,280,14,2,0.12,0,0.12,0,0.12,0,0
Chimy Ávila,Real Betis,0,7,71,56,15,187,132,11,0,0.13,0.06,0.06,0.06,0.06,0,0
Coba da Costa,Getafe CF,1,21,107,83,24,156,100,3,2,0.1,0,0.1,0,0,0.1,0
Cristhian Stuani,Girona FC,0,4,51,30,21,80,56,0,0,0.3,0,0.3,0,0.25,0.05,0
Cristian Portugués Manzanera,Girona FC,8,7,35,22,13,101,82,0,0,0,0,0,0,0,0,0
Cucho Hernández,Real Betis,0,5,59,33,26,116,81,6,1,0.17,0,0.17,0,0.17,0,0
Cyle Larin,RCD Mallorca,0,7,213,110,103,218,146,3,0,0.23,0,0.23,0.09,0.14,0,0
Dani Gómez,Real Zaragoza,0,3,63,32,31,81,60,0,0,0.15,0.08,0.08,0,0.15,0,0
Dani Raba,CD Leganés,29,29,207,193,14,355,236,14,11,0.31,0,0.31,0.25,0.06,0,0
Daniel Yáñez,Real Madrid,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Darwin Machís,Real Valladolid CF,17,4,32,27,5,131,88,5,0,0,0,0,0,0,0,0
David Otorbi,Valencia CF,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
Dawda Camara,Girona FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego García,CD Leganés,0,0,118,43,75,112,74,4,0,0.14,0,0.14,0,0.14,0,0
Diego López,Valencia CF,0,22,216,157,59,586,422,17,3,0.26,0,0.26,0,0.22,0.04,0
Diego Martín Pérez,UD Las Palmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodi Lukébakio,Sevilla FC,53,18,297,272,25,697,545,25,5,0.19,0.02,0.18,0.16,0.04,0,0
Elías Romero,UD Las Palmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endika Bujan,Athletic Club,0,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0
Endrick Felipe Moreira de Sousa,Real Madrid,0,1,26,20,6,37,28,1,0,0.1,0,0.1,0,0.1,0,0
Etienne Eto'o Pineda,Rayo Vallecano,0,0,11,3,8,5,1,0,0,0,0,0,0,0,0,0
Fábio Daniel Soares Silva,UD Las Palmas,0,9,227,138,89,348,226,8,2,0.21,0,0.21,0.03,0.16,0.03,0
Ferran Torres,FC Barcelona,9,5,43,36,7,221,167,3,2,0.29,0.04,0.25,0.04,0.21,0.04,0
Francisco Jorge Tavares Oliveira,RCD Mallorca,4,1,47,41,6,23,18,0,1,0,0,0,0,0,0,0
Gerard Fernández Castellano,Sevilla FC,3,10,113,86,27,234,182,8,4,0,0,0,0,0,0,0
Gerard Moreno,Villarreal CF,0,7,74,55,19,230,168,15,1,0.14,0,0.14,0.14,0,0,0
Germán Valera,Elche CF,0,1,18,15,3,40,33,0,0,0,0,0,0,0,0,0
Giuliano Simeone,Atlético de Madrid,1,19,152,123,29,475,372,1,2,0.08,0,0.08,0,0.08,0,0
Gonzalo García,Real Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorka Guruzeta,Athletic Club,0,11,188,105,83,298,219,7,0,0.17,0,0.17,0,0.11,0.06,0
Hamza Bellari,Valencia CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Duro,Valencia CF,0,12,259,128,131,329,233,4,0,0.25,0,0.25,0.18,0.04,0.04,0
Hugo Novoa,Deportivo Alavés,0,8,30,21,9,52,38,3,0,0,0,0,0,0,0,0
Iago Aspas,RC Celta,2,12,116,101,15,663,459,39,15,0.23,0.03,0.2,0.23,0,0,0
Iker Almena,,0,0,5,5,0,26,21,0,0,0,0,0,0,0,0,0
Iker Benito,CD Mirandés,0,0,5,4,1,11,9,0,0,0,0,0,0,0,0,0
Ilias Akhomach,Villarreal B,3,12,105,92,13,164,124,7,1,0.07,0,0.07,0.07,0,0,0
Iñaki Williams,Athletic Club,0,17,232,185,47,571,389,7,5,0.12,0,0.12,0.05,0.07,0,0
Iñigo Arguibide,CA Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irvin Cardona,Saint-Étienne,0,8,68,48,20,142,90,3,1,0.11,0.11,0,0,0.11,0,0
Isaac Romero,Sevilla FC,0,10,253,180,73,359,249,15,1,0.09,0.03,0.06,0.06,0,0.03,0
Israel Domínguez,Sevilla FC,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0
Jaime Mata,UD Las Palmas,0,6,79,41,38,120,84,4,0,0,0,0,0,0,0,0
Javi Llabrés,CD Eldense,0,0,4,3,1,20,18,1,0,0,0,0,0,0,0,0
Javi Puado,RCD Espanyol de Barcelona,1,15,153,122,31,441,330,12,4,0.21,0.03,0.18,0.05,0.1,0.05,0
Javier Martón,Albacete BP,0,0,4,1,3,7,6,0,0,0,0,0,0,0,0,0
Jesús Rodriguez,Real Betis,3,13,134,126,8,182,136,2,0,0.08,0.08,0,0,0.08,0,0
Joaquín Panichelli,CD Mirandés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jofre Carreras,RCD Espanyol de Barcelona,1,18,202,189,13,344,243,10,1,0.14,0.14,0,0,0.14,0,0
Jonathan Bamba,,1,12,104,88,16,325,263,6,3,0,0,0,0,0,0,0
Jones El Abdellaoui,RC Celta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge de Frutos,Rayo Vallecano,0,25,224,197,27,452,325,6,2,0.13,0,0.13,0,0.13,0,0
José Arnáiz,CA Osasuna,3,3,16,13,3,34,23,2,0,0,0,0,0,0,0,0
Juan Diego Molina Martínez,Granada CF,0,14,85,64,21,200,121,10,6,0,0,0,0,0,0,0
Juan Miguel Jiménez López,Getafe CF,0,15,87,70,17,155,112,6,0,0,0,0,0,0,0,0
Juanmi Latasa,Real Valladolid CF,0,1,152,57,95,139,80,2,1,0.12,0,0.12,0.06,0.06,0,0
Julen Lartitegi,Deportivo Alavés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julián Álvarez,Atlético de Madrid,22,20,172,133,39,622,456,22,5,0.26,0,0.26,0.1,0.14,0.02,0
Karl Edouard Blaise Etta Eyong,Villarreal CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kike Barja,CA Osasuna,4,3,33,26,7,55,43,0,0,0,0,0,0,0,0,0
Kike García,Deportivo Alavés,0,9,279,124,155,398,259,13,4,0.35,0,0.35,0.13,0.13,0.1,0
Kylian Mbappé,Real Madrid,4,8,236,230,6,846,689,36,6,0.24,0.04,0.2,0.01,0.22,0,0
Lamine Yamal Nasraoui Ebana,FC Barcelona,8,32,328,327,1,873,664,20,18,0.1,0.05,0.05,0.09,0.02,0,0
Leandro Antonetti,Sevilla FC,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Luís Henriques de Barros Lopes,CD Leganés,0,4,27,27,0,21,14,0,0,0,0,0,0,0,0,0
Luis Rioja,Valencia CF,42,27,220,189,31,720,525,30,4,0.25,0.05,0.2,0.25,0,0,0
Luka Romero,,4,4,25,19,6,39,31,0,0,0,0,0,0,0,0,0
Malcom Abdulai Ares Djaló,Real Zaragoza,0,0,4,4,0,8,5,0,0,0,0,0,0,0,0,0
Mamadou Sylla,Real Valladolid CF,0,3,136,52,84,174,108,5,0,0.19,0,0.19,0,0.19,0,0
Marc Cardona,UD Las Palmas,1,2,15,11,4,33,28,1,0,0,0,0,0,0,0,0
Marc Domenech,RCD Mallorca,0,0,17,7,10,20,14,0,0,0,0,0,0,0,0,0
Marcos André de Sousa Mendonça,Real Valladolid CF,0,10,204,113,91,203,123,12,3,0.06,0,0.06,0,0.06,0,0
Maroan Sannadi,Athletic Club,0,0,40,29,11,49,36,3,1,0.2,0,0.2,0,0.2,0,0
Martin Cuellar,Getafe CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martín Tejón,Valencia CF,0,2,15,12,3,25,20,0,0,0,0,0,0,0,0,0
Mateo Mejía,Sevilla FC,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Miguel de la Fuente,CD Leganés,0,16,252,134,118,205,118,4,4,0.04,0,0.04,0,0.04,0,0
Mikel Oyarzabal,Real Sociedad,0,15,150,71,79,348,247,6,2,0.19,0,0.19,0.14,0,0.05,0
Min-Su Kim,,0,1,6,5,1,10,9,0,0,0,0,0,0,0,0,0
Munir El Haddadi,CD Leganés,1,11,99,73,26,134,101,0,1,0.25,0.13,0.13,0.13,0,0.13,0
Nicholas Williams Arthuer,Athletic Club,37,24,289,264,25,493,378,12,0,0.12,0,0.12,0,0.09,0.03,0
Nico Serrano,Real Sporting,5,1,21,19,2,31,24,0,0,0,0,0,0,0,0,0
Nicolas Pépé,Villarreal CF,11,8,106,84,22,388,314,8,3,0.04,0,0.04,0,0.04,0,0
NOMBRE,EQUIPO,C L,ENT,DUE,D,DA,PC,PCC,PLC,PH,GPT,GPTFA,GPTDA,GCPI,GCPD,CG,GABP
Oliver McBurnie,UD Las Palmas,0,9,201,84,117,292,198,2,0,0,0,0,0,0,0,0
Omar Sadik,RCD Espanyol de Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orri Óskarsson,Real Sociedad,0,6,113,36,77,168,95,1,0,0.2,0,0.2,0.07,0.13,0,0
Pablo Durán,RC Celta,1,10,118,88,30,250,176,8,1,0.29,0.14,0.14,0,0.29,0,0
Pablo García,Real Betis,0,0,2,2,0,7,4,1,0,0,0,0,0,0,0,0
Papa Dame Ba,Girona FC,0,1,9,9,0,12,5,0,0,0,0,0,0,0,0,0
Pau Cabanes,Deportivo Alavés,1,8,62,55,7,126,97,1,1,0.25,0,0.25,0,0.25,0,0
Pau Víctor,FC Barcelona,0,1,33,30,3,93,74,2,0,0.29,0.14,0.14,0.14,0.14,0,0
Peter Federico González Carmona,Getafe CF,0,7,59,41,18,67,49,2,0,0,0,0,0,0,0,0
Rafa Mir,Valencia CF,0,8,46,28,18,75,56,2,0,0,0,0,0,0,0,0
Raphael Dias Belloli,FC Barcelona,114,32,193,183,10,954,705,39,7,0.21,0.03,0.18,0.16,0.05,0,0
Raúl de Tomás,Rayo Vallecano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl García,CA Osasuna,0,9,86,57,29,137,94,1,0,0.13,0.07,0.07,0,0.07,0.07,0
Raúl Moro,Real Valladolid CF,33,16,159,142,17,415,281,25,3,0.16,0.05,0.11,0,0.11,0.05,0
Rayane Belaid,Atlético de Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Lewandowski,FC Barcelona,0,7,193,128,65,417,303,11,3,0.31,0.01,0.29,0.08,0.19,0.03,0
Roberto Fernández,RCD Espanyol de Barcelona,0,4,88,50,38,103,65,1,0,1,0,1,0,0.5,0.5,0
Rodrygo Silva de Goes,Real Madrid,51,15,172,154,18,901,814,9,1,0.18,0.03,0.15,0.03,0.15,0,0
Sandro Ramírez,UD Las Palmas,46,22,160,138,22,417,296,12,1,0.25,0.09,0.16,0.06,0.19,0,0.06
Sébastien Haller,,0,2,63,20,43,90,53,1,2,0,0,0,0,0,0,0
Sergi Guardiola,Rayo Vallecano,0,3,38,24,14,65,42,2,0,0,0,0,0,0,0,0
Sergio Camello,Rayo Vallecano,0,9,113,76,37,253,201,3,7,0.13,0,0.13,0.09,0.04,0,0
Sergio Ruiz,UD Las Palmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheraldo Becker,Real Sociedad,2,2,59,36,23,238,174,8,0,0.11,0,0.11,0,0.11,0,0
Stipe Biuk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadeo Allende,,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0
Takefusa Kubo,Real Sociedad,17,22,255,234,21,589,427,19,5,0.24,0,0.24,0.24,0,0,0
Takuma Asano,RCD Mallorca,0,9,86,57,29,150,103,1,0,0.12,0,0.12,0,0.06,0.06,0
Tasos Douvikas,Como,0,9,115,77,38,105,74,1,0,0.2,0,0.2,0,0.13,0.07,0
Thierno Barry,Villarreal CF,0,11,233,121,112,236,140,4,1,0.17,0,0.17,0.04,0.06,0.06,0
Tomás Conechny,Deportivo Alavés,3,10,103,68,35,232,149,2,2,0.07,0,0.07,0,0,0.07,0
Toni Fernández,FC Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toni Martínez,Deportivo Alavés,0,9,164,43,121,184,116,0,2,0.13,0.06,0.06,0.03,0.1,0,0
Umar Sadiq,Valencia CF,0,7,121,79,42,137,91,2,0,0.29,0,0.29,0.07,0.14,0.07,0
Vedat Muriqi,RCD Mallorca,0,6,307,105,202,394,238,10,3,0.15,0,0.15,0.09,0,0.06,0
Víctor Muñoz Villanueva,Real Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viktor Tsyhankov,Girona FC,61,13,95,80,15,475,388,9,1,0.17,0,0.17,0.17,0,0,0
Vinícius José Paixão de Oliveira Júnior,Real Madrid,5,17,290,282,8,621,465,25,9,0.21,0.02,0.19,0.04,0.17,0,0
Vitor Hugo Roque Ferreira,,1,11,188,141,47,188,134,4,1,0.13,0,0.13,0,0.1,0.03,0
Walid Cheddira,RCD Espanyol de Barcelona,0,4,108,71,37,92,66,1,0,0.14,0,0.14,0.14,0,0,0
Warren Madrigal,Valencia CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0